wavelength_nm,flux
388.23984,12.299446
388.32925,5.61145
388.41867,9.798314
388.50812,15.602303
388.5976,-15.887089
388.68707,-18.808226
388.77658,-12.93002
388.86612,13.689984
388.95566,1.1842475
389.04523,11.982096
389.13483,4.1037083
389.22443,7.3240485
389.3141,-15.365781
389.40375,3.2302623
389.4934,12.102357
389.5831,28.838947
389.67282,4.3095126
389.76254,-21.028053
389.85233,17.758652
389.94208,13.142215
390.0319,0.61916715
390.1217,22.553999
390.21155,-5.086068
390.3014,11.844533
390.3913,-7.1853447
390.48117,-10.830895
390.5711,28.861334
390.66107,-12.264102
390.751,18.25382
390.841,-2.8650086
390.931,-18.961393
391.02103,-9.99207
391.11108,8.885228
391.20114,-0.36802065
391.29123,30.612703
391.38135,13.09659
391.47147,17.920057
391.5616,0.113716684
391.6518,20.122313
391.74197,3.2868946
391.83218,-1.8093466
391.92242,-4.2886844
392.01266,2.72448
392.10297,0.2928308
392.19324,-1.5472845
392.28357,2.3240745
392.3739,7.413725
392.46426,4.17102
392.55463,22.016516
392.64505,-5.1350527
392.73544,20.398285
392.8259,15.99393
392.91635,29.048592
393.00684,-4.8883605
393.09735,0.50867456
393.18787,21.955643
393.2784,-0.9839399
393.36896,3.363839
393.45956,-5.655294
393.55017,-11.08492
393.6408,-0.6458033
393.73145,8.57731
393.8221,26.081528
393.9128,23.211
394.00354,5.058057
394.09427,2.5375786
394.185,-6.145821
394.2758,15.696947
394.36658,-3.671099
394.4574,15.12551
394.54825,17.619827
394.6391,-1.6457202
394.72998,0.8730325
394.82086,7.1172867
394.9118,16.221144
395.00275,2.5887516
395.0937,2.0274553
395.1847,9.115806
395.2757,13.456794
395.36673,9.829079
395.45776,6.808605
395.54883,17.522865
395.63992,17.949892
395.73102,3.867477
395.82217,6.5650024
395.91333,10.540672
396.0045,8.028488
396.09567,4.9129367
396.1869,5.8574224
396.27814,12.287179
396.3694,14.783521
396.46066,7.709578
396.55197,15.89634
396.64328,24.482595
396.73462,11.929156
396.826,1.6807843
396.9174,0.78862596
397.0088,-11.57596
397.1002,-11.225936
397.19165,10.131943
397.28314,4.899128
397.3746,16.55912
397.46613,13.206304
397.55765,-0.633657
397.6492,11.348794
397.74078,-5.255068
397.83237,-2.8842537
397.92398,-8.073914
398.01562,8.402594
398.10727,5.60384
398.19894,9.23345
398.29065,3.8726454
398.3824,10.109091
398.47412,-8.629408
398.56586,4.324177
398.65765,6.3019423
398.74945,-0.91862386
398.84128,12.011171
398.93314,-1.8839011
399.025,13.803338
399.11688,-6.9656606
399.2088,13.177816
399.30072,2.5181098
399.3927,-1.0649447
399.48468,36.153038
399.57666,8.859056
399.66867,11.929816
399.7607,11.596264
399.85278,19.62113
399.94485,15.769095
400.03696,9.234858
400.1291,-5.710299
400.22122,10.731467
400.3134,3.101957
400.40558,1.7961526
400.49777,19.766424
400.59003,11.785681
